File,CEGAR,Cheetah,S52SAT,LCK,KSP,CEGAR_onedia
s4_ipc_n.0033.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0034.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0035.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0036.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0037.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0038.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0039.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0040.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0041.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0042.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0043.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0044.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0045.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0046.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0047.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0048.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0049.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0050.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0051.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0052.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0053.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0054.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0055.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_n.0056.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0001.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0002.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0003.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0004.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0005.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0006.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0007.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0008.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0009.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0010.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0011.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0012.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0013.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0014.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0015.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0016.intohylo,-1,-1,-1,-1,-1,-1
s4_ipc_p.0017.intohylo,-1,-1,-1,-1,-1,-1
