File,Logic Domain,CEGAR,Cheetah,S52SAT
s4_ipc_p.0029.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0030.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0031.intohylo,s4,0.25,0.25,0.5
s4_ipc_p.0032.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0033.intohylo,s4,0.25,0.25,0.5
s4_ipc_p.0034.intohylo,s4,0.25,0.25,0.5
s4_ipc_p.0035.intohylo,s4,0.25,0.25,0.5
s4_ipc_p.0036.intohylo,s4,0.25,0.25,0.5
s4_ipc_p.0037.intohylo,s4,0.25,0.25,0.5
s4_ipc_p.0038.intohylo,s4,0.25,0.25,1
s4_ipc_p.0039.intohylo,s4,0.25,0.25,1
s4_ipc_p.0040.intohylo,s4,0.25,0.25,0.5
s4_ipc_p.0041.intohylo,s4,0.25,0.25,1
s4_ipc_p.0042.intohylo,s4,0.25,0.25,1
s4_ipc_p.0043.intohylo,s4,0.25,0.25,1
s4_ipc_p.0044.intohylo,s4,0.25,0.25,1
s4_ipc_p.0045.intohylo,s4,0.25,0.25,2
s4_ipc_p.0046.intohylo,s4,0.25,0.25,2
s4_ipc_p.0047.intohylo,s4,0.25,0.25,2
s4_ipc_p.0048.intohylo,s4,0.25,0.25,1
s4_ipc_p.0049.intohylo,s4,0.25,0.25,2
s4_ipc_p.0050.intohylo,s4,0.25,0.25,2
s4_ipc_p.0051.intohylo,s4,0.25,0.25,2
s4_ipc_p.0052.intohylo,s4,0.25,0.25,2
s4_ipc_p.0053.intohylo,s4,0.25,0.25,4
s4_ipc_p.0054.intohylo,s4,0.25,0.25,4
s4_ipc_p.0055.intohylo,s4,0.25,0.25,4
s4_ipc_p.0056.intohylo,s4,0.25,0.25,2
s4_md_n.0001.intohylo,s4,0.25,0.25,0.25
s4_md_n.0002.intohylo,s4,0.25,0.25,0.25
s4_md_n.0003.intohylo,s4,0.25,0.25,0.25
s4_md_n.0004.intohylo,s4,0.25,0.25,0.25
s4_md_n.0005.intohylo,s4,0.25,0.25,0.25
s4_md_n.0006.intohylo,s4,0.25,0.25,0.25
s4_md_n.0007.intohylo,s4,0.25,0.25,0.25
s4_md_n.0008.intohylo,s4,0.25,0.25,0.25
s4_md_n.0009.intohylo,s4,0.25,0.25,0.25
s4_md_n.0010.intohylo,s4,0.25,0.25,0.25
s4_md_n.0011.intohylo,s4,0.25,0.25,0.25
s4_md_n.0012.intohylo,s4,0.25,0.25,0.25
s4_md_n.0013.intohylo,s4,0.25,0.25,0.5
s4_md_n.0014.intohylo,s4,0.25,0.25,1
s4_md_n.0015.intohylo,s4,0.25,0.25,1
s4_md_n.0016.intohylo,s4,0.25,0.25,2
s4_md_n.0017.intohylo,s4,0.25,0.5,2
s4_md_n.0018.intohylo,s4,0.25,0.5,4
s4_md_n.0019.intohylo,s4,0.25,1,4
s4_md_n.0020.intohylo,s4,0.25,1,8
s4_md_n.0021.intohylo,s4,0.25,2,8
s4_md_n.0022.intohylo,s4,0.25,2,-1
s4_md_n.0023.intohylo,s4,0.5,4,4
s4_md_n.0024.intohylo,s4,0.5,4,4
s4_md_n.0025.intohylo,s4,0.5,8,8
