File,CEGAR,Cheetah,S52SAT,LCK,KSP
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s9.intohylo",0.0234067440032959,0.31709885597229004,1.0958375930786133,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s0.intohylo",0.028562307357788086,0.347198486328125,1.5549821853637695,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s1.intohylo",0.04037618637084961,0.4753131866455078,1.7290840148925781,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s2.intohylo",0.02577519416809082,0.3442847728729248,1.4311621189117432,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s3.intohylo",0.028049468994140625,0.3668673038482666,1.5001957416534424,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s4.intohylo",0.029909610748291016,0.3910839557647705,1.6078157424926758,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s5.intohylo",0.02889394760131836,0.3996622562408447,1.4685311317443848,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s6.intohylo",0.028081178665161133,0.44084811210632324,1.5835850238800049,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s7.intohylo",0.02569723129272461,0.33420300483703613,1.5287840366363525,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s8.intohylo",0.028510332107543945,0.46509766578674316,1.7217936515808105,-1.0,-1.0
